"KaySig" "38.43.130.109" "251807664" "340033280" "272375872" "6" "87"
"La Sra.Pepi" "170.246.58.116" "250501408" "325475264" "274288992" "5" "81"
"jamon" "161.132.49.188" "248862304" "325375840" "269398176" "6" "85"
"face" "38.25.31.18" "241694848" "331114624" "256884336" "11" "97"
"Speed2k" "179.6.166.44" "239078688" "296241760" "269770432" "3" "57"
"No Love" "181.65.1.113" "234537456" "293738144" "274371424" "4" "37"
"Netori" "186.3.219.14" "232033856" "292798976" "268099696" "3" "43"
"Fire.-" "181.67.60.131" "230225024" "292626080" "261586608" "4" "59"
"No Love" "190.237.47.143" "229607408" "288985536" "259192784" "4" "52"
"perrito" "190.233.86.52" "227892848" "275750048" "265943184" "4" "39"
"_M_" "181.66.137.196" "227619264" "272475648" "264837616" "2" "37"
"karmagedon" "190.43.25.205" "227036944" "273010464" "260556608" "2" "31"
"_M_" "190.233.86.124" "225466752" "297682304" "260290592" "3" "71"
"Rozskin" "38.25.66.109" "225031312" "307756480" "251050128" "3" "94"
"andleo" "38.250.131.73" "221901568" "272015200" "254036064" "1" "29"
"SEÑOR K" "81.184.97.194" "220353440" "277468896" "258320000" "3" "72"
"GmanDesempleado" "190.233.86.80" "215558800" "279304320" "259140480" "1" "43"
"Kev" "38.43.130.212" "215490512" "252873584" "250320272" "2" "25"
"" "" "0" "0" "0" "0" "0"
"" "" "0" "0" "0" "0" "0"
